ID_Lloyds	Name_Lloyds (COUNTRY)	COUNTRY
('3142',)	Baddeck (CAN)	CAN
('9889',)	Bade (IDN)	IDN
('4221',)	Badejo Field (BRA)	BRA
('8653',)	Badoc (PHL)	PHL
('8051',)	Baffin Is. (CAN)	CAN
('8762',)	Bagaevskaya (RUS)	RUS
('10576',)	Bagamoyo (TZA)	TZA
('9890',)	Bagan Si Api Api (IDN)	IDN
('3352',)	Bagenkop (DNK)	DNK
('8301',)	Bagnara Calabra (ITA)	ITA
('2727',)	Bagnoli (ITA)	ITA
('4024',)	Bagotville (CAN)	CAN
('2234',)	Bahamas (BHS)	BHS
('9336',)	Bahe (CHN)	CHN
('21',)	Bahia Blanca (ARG)	ARG
('10268',)	Bahia Blanca Anch. (ARG)	ARG
('3887',)	Bahia de Caraquez (ECU)	ECU
('1866',)	Bahia do Sul Field (BRA)	BRA
('9497',)	Bahia Fildes (ATA)	ATA
('520',)	Bahia Posesion (CHL)	CHL
('8273',)	Bahia Solano (COL)	COL
('3680',)	Bahrain (BHR)	BHR
('10484',)	Bahudopi (IDN)	IDN
('3064',)	Baia dos Tigres (AGO)	AGO
('1844',)	Baie Verte (CAN)	CAN
('8236',)	Bainbridge (USA)	USA
('1728',)	Bais (PHL)	PHL
('10703',)	Baja (HUN)	HUN
('690',)	Bajo Grande (VEN)	VEN
('10707',)	Bakauheni (IDN)	IDN
('6288',)	Bakkafjordur (ISL)	ISL
('1861',)	Baku (AZE)	AZE
('9248',)	Balakhna (RUS)	RUS
('6481',)	Balakovo (RUS)	RUS
('8258',)	Balamban (PHL)	PHL
('2773',)	Balao Terminal (ECU)	ECU
('4827',)	Balboa (PAN)	PAN
('3028',)	Balboa Bay (USA)	USA
('2785',)	Balchik (BGR)	BGR
('8111',)	Balder Field (NOR)	NOR
('216',)	Balearic Is. (ESP)	ESP
('10219',)	Baleia Azul Field (BRA)	BRA
('8952',)	Balen (BEL)	BEL
('10029',)	Balhaf (YEM)	YEM
('6388',)	Balholm (NOR)	NOR
('745',)	Bali Is. (IDN)	IDN
('232',)	Balikpapan (IDN)	IDN
('2769',)	Balikpapan light. area (IDN)	IDN
('8007',)	Balingasag (PHL)	PHL
('1738',)	Balingian (MYS)	MYS
('9300',)	Balk (NLD)	NLD
('1725',)	Ballangen (NOR)	NOR
('9601',)	Ballantrae (GBR)	GBR
('4613',)	Ballast Head (AUS)	AUS
('3919',)	Ballen (DNK)	DNK
('4461',)	Ballina(IRL) (IRL)	IRL
('10407',)	Balloch Field (GBR)	GBR
('4038',)	Ballstad (NOR)	NOR
('7802',)	Ballycastle (GBR)	GBR
('2636',)	Ballylongford (IRL)	IRL
('2642',)	Ballylumford (GBR)	GBR
('10567',)	Balnaves Field (AUS)	AUS
('3834',)	Balogo (PHL)	PHL
('2845',)	Balongan Terminal (IDN)	IDN
('6174',)	Balsfjord (NOR)	NOR
('3884',)	Balsta (SWE)	SWE
